smiles,reaction_energy
O=C1CC(=O)C=C1C(=O)O,-0.041
O=C1CC(=O)C=C1,-0.01826
O=C1CC(=O)C(C(=O)O)=C1C(=O)O,-0.06394
O=C1CC(=O)C=C1F,-0.01642
O=C1CC(=O)C(F)=C1F,-0.01622
O=C1CC(=O)C(N)=C1N,0.02884
O=C1CC(=O)C=C1N,0.01265
O=C1CC(=O)C=C1O,-0.00269
O=C1CC(=O)C(O)=C1O,0.0074
O=C1CC(=O)C(=C1)S(=O)(=O)O,-0.03832
O=C1CC(=O)C(S(=O)(=O)O)=C1S(=O)(=O)O,-0.06837
O=C1NC(=O)C(=C1)C(=O)O,-0.03257
O=C1NC(=O)C(C(=O)O)=C1C(=O)O,-0.06112
O=C1NC(=O)C=C1,-0.00731
O=C1NC(=O)C(F)=C1F,-0.00118
O=C1NC(=O)C=C1F,-0.00303
O=C1NC(=O)C(=C1)N,0.02118
O=C1NC(=O)C(N)=C1N,0.0241
O=C1NC(=O)C(O)=C1O,0.0171
O=C1NC(=O)C(=C1)O,0.00929
O=C1NC(=O)C(S(=O)(=O)O)=C1S(=O)(=O)O,-0.05857
O=C1NC(=O)C(=C1)S(=O)(=O)O,-0.03208
O=C1SC(=O)C=C1,-0.01861
O=C1SC(=O)C(=C1)C(=O)O,-0.03321
O=C1SC(=O)C(C(=O)O)=C1C(=O)O,-0.06775
O=C1SC(=O)C(F)=C1,-0.01665
O=C1SC(=O)C(F)=C1F,-0.01672
O=C1SC(=O)C(=C1)N,0.01149
O=C1SC(=O)C(N)=C1N,0.01156
O=C1SC(=O)C(O)=C1O,0.00376
O=C1SC(=O)C(=C1)O,-0.00277
O=C1SC(=O)C(S(=O)(=O)O)=C1S(=O)(=O)O,-0.06693
O=C1SC(=O)C(=C1)S(=O)(=O)O,-0.03892
O=C1OC(=O)C(C(=O)O)=C1C(=O)O,-0.05247
O=C1OC(=O)C=C1,-0.00709
O=C1OC(=O)C(=C1)C(=O)O,-0.02411
O=C1OC(=O)C(F)=C1F,-0.00249
O=C1OC(=O)C(F)=C1,-0.0031
O=C1OC(=O)C(N)=C1N,0.02621
O=C1OC(=O)C(=C1)N,0.02504
O=C1OC(=O)C(=C1)O,0.00914
O=C1OC(=O)C(O)=C1O,0.01555
O=C1OC(=O)C(S(=O)(=O)O)=C1S(=O)(=O)O,-0.0543
O=C1OC(=O)C(=C1)S(=O)(=O)O,-0.03029
C1=NCN=C1,-0.0276
O=C(O)C1=NCN=C1C(=O)O,-0.05996
C1=NCN=C1C(=O)O,-0.04717
FC1=NCN=C1F,-0.00905
C1=NCN=C1F,-0.01864
NC1=NCN=C1N,0.00323
