smiles,reaction_energy
O=C1C(c2ccccc2)=Nc2cc([N+](=O)[O-])c(O)cc21,-2.8806925985097886
CC1=C(C(=O)N(N1)C2=CC=CC=C2)C=C3C=NN=C3C4=CC(=CC=C4)[N+](=O)[O-],-2.5248875836730003
C1=CC(=CC=C1C(=O)N=NC2=C3C=C(C=C(C3=NC2=O)Cl)Cl)N(O)O,-2.3757385872602463
C1=CC(=O)C(=CN=C2C=CC3=NC(=NC3=C2)C4=C(C=C(C=C4)Cl)Cl)C=C1N(O)O,-2.350571857559681
CONC1=C2C=C(C=CC2=NC1=O)[N+](=O)[O-],-2.3108765674710274
CONC1=C2C=C(C=CC2=NC1=O)[N+](=O)[O-],-2.310876443624496
COC1=CC(=CN=C2C=CC3=NC(=NC3=C2)C4=CC=CC=C4)C(=O)C(=C1)N(O)O,-2.3034055254936217
C1=CC=C(C=C1)C2=NC3=CC(=NC=C4C=C(C=CC4=O)N(O)O)C=CC3=N2,-2.284781855714321
C1=CC=C(C=C1)C2=NC(=C3C=CC(=O)C(=C3)N(O)O)N=C2C4=CC=CC=C4,-2.202915707230568
C1=CC=C(C=C1)N2C(=O)C(=C(N2)C(=O)[O-])C=C3C=NC4=CC=CC=C43,-2.197016649270058
C1=CC=C(C=C1)N2C(=O)C(=C(N2)C(=O)[O-])C=C3C=NC4=CC=CC=C43,-2.1970165254235265
C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)N=C2[O-],-2.083222741270065
C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)N=C2[O-],-2.083222617423534
COC1=CC=C(C=C1)N2C(=C(C(=O)NC2=O)C=C3C=NN=C3C4=CC=C(C=C4)F)O,-2.070825455832481
C1=CC2=NC(=C3C=C(C=CC3=O)N=CC4=C(C(=CC=C4)N(O)O)O)N=C2C=C1,-2.065413486278057
C1=CC=C(C=C1)C=C2C(=NOC2=O)C3=CC=CC=C3[N+](=O)[O-],-2.050398580563068
CC1=CC(=CN=C2C=CC(=C3N=C4C=CC=CC4=N3)C=C2)C(=O)C(=C1)N(O)O,-2.0127228558540344
OC(=O)c1cc(Cl)cc2CC(=Nc12)c3ccc(cc3)c4ccccc4,-2.003070504927635
CCOC(=O)C1=C(N=C2N(C1C3=CC=C(C=C3)Cl)C(=O)C(=CC4=CC=C(O4)C5=CC(=C(C=C5)C(=O)O)Cl)S2)C6=CC=CC=C6,-1.98691014264822
CCOC(=O)C1=C(N=C2N(C1C3=CC=C(C=C3)Cl)C(=O)C(=CC4=CC=C(O4)C5=CC(=C(C=C5)C(=O)O)Cl)S2)C6=CC=CC=C6,-1.986910018801689
C1CC2=C(C3=CC=CC=C31)N=C4N(C2C5=CC(=CC=C5)[N+](=O)[O-])C(=O)C(=CC6=C(C(=CC(=C6)[N+](=O)[O-])Br)O)S4,-1.9761106013059615
C1CC2=C(C3=CC=CC=C31)N=C4N(C2C5=CC(=CC=C5)[N+](=O)[O-])C(=O)C(=CC6=C(C(=CC(=C6)[N+](=O)[O-])Br)O)S4,-1.9761104774594305
C1=CC2=C3C(=CC(=N)C(=O)N3C4=CC=C(C=C4)N(O)O)N=C2C=C1,-1.9448916154861449
COC(=O)C1=NN(C(=O)C1=CC2=CC=CC=C2[N+](=O)[O-])C3=CC(=CC(=C3)Cl)Cl,-1.9390459353804583
COC(=O)C1=NN(C(=O)C1=CC2=CC=CC=C2[N+](=O)[O-])C3=CC(=CC(=C3)Cl)Cl,-1.9390459353804583
CC(=O)C(=C1C2=CC=CC=C2C(=N1)NC(=O)C3=CC=CO3)C(=O)OC,-1.9387631937503813
CC(=O)C(=C1C2=CC=CC=C2C(=N1)NC(=O)C3=CC=CO3)C(=O)OC,-1.93876294605732
C1=C(C=C(C2=NC(=O)C(=C21)C3=C(NC(=S)N3)O)Br)Br,-1.9124663644552231
C1=C(C=C(C2=NC(=O)C(=C21)C3=C(NC(=S)N3)O)Br)Br,-1.9124663644552231
COC(=O)C1=CC=C(C=C1)C=C2C(=NN(C2=O)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,-1.9041158882617948
COC(=O)C1=CC=C(C=C1)C=C2C(=NN(C2=O)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,-1.9041156405687327
C1=CC2=NC(=O)C(=C2C=C1Br)C3=C(N(C(=S)S3)NC(=O)C4=CC=NC=C4)O,-1.8986928963661192
CC1=NC2=CC=CC=C2[N+]1=C(C3=CC=C(C=C3)Cl)NS(=O)(=O)C4=CC=C(C=C4)Cl,-1.8814932139992715
CC1=NN(C(=O)C1=CC2=CC=C(O2)C3=C(C=CC(=C3)[N+](=O)[O-])Cl)C4=CC(=CC(=C4)Cl)Cl,-1.8718666231513024
CC1=C(C(N2C(=O)C(=CC3=CC(=C(C=C3)Cl)[N+](=O)[O-])SC2=N1)C4=CC=CC=C4)C(=O)OC,-1.856337754333019
CC1=C(C(N2C(=O)C(=CC3=CC(=C(C=C3)Cl)[N+](=O)[O-])SC2=N1)C4=CC=CC=C4)C(=O)OC,-1.856337754333019
C1CC2=C(C3=CC=CC=C31)N=C4N(C2C5=CC=CC=C5Cl)C(=O)C(=CC6=CC=C(O6)C7=CC(=C(C=C7)Cl)[N+](=O)[O-])S4,-1.8531074652671813
C1CC2=C(C3=CC=CC=C31)N=C4N(C2C5=CC=CC=C5Cl)C(=O)C(=CC6=CC=C(O6)C7=CC(=C(C=C7)Cl)[N+](=O)[O-])S4,-1.85310721757412
C1=CC=C(C(=C1)N2C(=C(SC2=S)C3=C4C=CC=CC4=NC3=O)O)F,-1.848036940598488
C1=CC2=C(C(=O)N=C2C=C1)NC3=C(C=C(C=C3Br)Br)Cl,-1.833871993625164
C1=CC2=C(C(=O)N=C2C=C1)C3=C(N(NC3=O)C4=CC(=CC(=C4)Cl)Cl)O,-1.832210220873356
CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC=C2C=C3C(=N)N4C(=NC3=O)SC(=N4)C5=CC=CS5,-1.8311437783956528
CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC=C2C=C3C(=N)N4C(=NC3=O)SC(=N4)C5=CC=CS5,-1.831143654549122
C1=CC(=C(C=C1NC2=C3C=C(C=C(C3=NC2=O)Cl)Cl)Cl)OC(F)F,-1.8309448808670044
C1=CC(=C(C=C1NC2=C3C=C(C=C(C3=NC2=O)Cl)Cl)Cl)OC(F)F,-1.8309446331739423
CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=NN(C3=O)C4=CC(=C(C=C4)Cl)C(=O)O)C,-1.8193317916631695
CCOC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5Cl)N,-1.8174131612062452
C1=CC=C(C=C1)C2=NOC(=O)C2=CC3=CC=C(C=C3)OC(=O)C4=CC=CC=C4,-1.8163520441293717
CC1=NC2=CC=CC=C2[N+]1=C(C3=CC=CC=C3)NS(=O)(=O)C4=CC=C(C=C4)Br,-1.81477919318676
CCOC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)C4=CC=C(C=C4)NC(=O)C5=CC=C(C=C5)Cl)N,-1.8146407327651977
C1CC2=C(C3=CC=CC=C31)N=C4N(C2C5=CC=C(C=C5)F)C(=O)C(=CC6=CC=C(O6)C7=CC(=C(C=C7)C(=O)O)Cl)S4,-1.797460989689827
C1CC2=C(C3=CC=CC=C31)N=C4N(C2C5=CC=C(C=C5)F)C(=O)C(=CC6=CC=C(O6)C7=CC(=C(C=C7)C(=O)O)Cl)S4,-1.797460989689827
COC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4CC3)N=C5N2C(=O)C(=CC6=CC=C(O6)C7=CC(=C(C=C7)C(=O)O)Cl)S5,-1.788030571746826
CC1=C(C(N2C(=O)C(=CC3=CC(=CC=C3)[N+](=O)[O-])SC2=N1)C4=CC=C(C=C4)Cl)C(=O)OC,-1.7849243769049643
CC1=C(C(N2C(=O)C(=CC3=CC(=CC=C3)[N+](=O)[O-])SC2=N1)C4=CC=C(C=C4)Cl)C(=O)OC,-1.7849242530584335
C1=CC2=C3C(=C1)NC(=NC3=CC=C2)C(=O)O,-1.7817812757968905
C1=CC=C2C(=C1)C(=CC3=C(N(C(=S)S3)CC(=O)[O-])O)C=N2,-1.768302933990955
CC(=O)N=C1C=CC2=NC(=NC(=S)NC(=O)C3=CC=C(O3)C4=CC=CC=C4N(O)O)SC2=C1,-1.7582085747957228
C1=CC=C2C(=C1)C(=NC2=NC(=O)C3=CC=NC=C3)NC4=CC=CC=C4Cl,-1.7472991815805434
CCOC(=O)C(=C1C2=CC=CC=C2C(=N1)NC(=O)C3=CC(=CC=C3)Cl)C(=O)C,-1.7444561606168745
CCOC(=O)C(=C1C2=CC=CC=C2C(=N1)NC(=O)C3=CC(=CC=C3)Cl)C(=O)C,-1.7444561606168745
