smile,reaction_energy
CN(Cc1[nH+]ccn1C)[C@@H]1CCC(C)(C)[C@H]1[NH3+],1.5033170630693435
CCn1nccc1[C@H](C)[NH2+]Cc1ccc(O)cc1,1.5032132796764373
O=C1CC[C@H]([NH2+]Cc2cc(Cl)cs2)CN1,1.5031667133808133
CC[NH2+]Cc1cncc(O[C@@H]2CCCC[C@H]2C)n1,1.502860812449455
CN(Cc1nc(C(F)(F)F)cs1)Cc1cccc(Br)c1O,1.5025217206478119
CC(C)(C)N1C[C@@H]([NH2+][C@H](CC2CCCCC2)c2ncccn2)CC1=O,1.5023428862571713
Cc1ccc(O[C@@H]2CCCCC[C@@H]2O)c(C[NH2+]C(C)C)n1,1.878132148861885
CCC[NH2+]Cc1c(C)nn(C)c1N(CC)C1CC1,1.8781918428897857
CC(C)[NH+]1C[C@@H](C)[C@@H](NC[C@@H](c2cccs2)N(C)C)C1,1.8791092979907988
C[NH2+][C@@H](COC(C)C)c1ncc(Cl)cc1Cl,1.8846997303962705
CC[C@H](C)N(CC)c1c(C[NH2+]C2CC2)c(C)nn1C,1.887577428388595
CC[C@H](C)C[NH+](C)Cc1sc(N(C)C)nc1C,1.8894985357761382
