smiles,reaction_energy,Pred_LogS,isSoluble
C1=CC(=O)C(=CN=C2C=CC3=NC(=NC3=C2)C4=C(C=C(C=C4)Cl)Cl)C=C1N(O)O,-2.350571857559681,-3.6313448,1
CONC1=C2C=C(C=CC2=NC1=O)[N+](=O)[O-],-2.310876567471027,-2.31388,1
COC1=CC(=CN=C2C=CC3=NC(=NC3=C2)C4=CC=CC=C4)C(=O)C(=C1)N(O)O,-2.3034055254936217,-2.669325,1
C1=CC=C(C=C1)C2=NC3=CC(=NC=C4C=C(C=CC4=O)N(O)O)C=CC3=N2,-2.284781855714321,-2.7555141,1
C1=CC=C(C=C1)C2=NC(=C3C=CC(=O)C(=C3)N(O)O)N=C2C4=CC=CC=C4,-2.202915707230568,-3.3265865,1
C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)N=C2[O-],-2.083222741270065,-2.380199,1
C1=CC2=NC(=C3C=C(C=CC3=O)N=CC4=C(C(=CC=C4)N(O)O)O)N=C2C=C1,-2.065413486278057,-3.3331847,1
CC1=CC(=CN=C2C=CC(=C3N=C4C=CC=CC4=N3)C=C2)C(=O)C(=C1)N(O)O,-2.0127228558540344,-2.4249933,1
C1=CC2=C3C(=CC(=N)C(=O)N3C4=CC=C(C=C4)N(O)O)N=C2C=C1,-1.9448916154861449,-3.3223796,1
C1=CC2=C3C(=C1)NC(=NC3=CC=C2)C(=O)O,-1.7817812757968905,-3.0478637,1
C1=CC=C2C(=C1)C(=CC3=C(N(C(=S)S3)CC(=O)[O-])O)C=N2,-1.768302933990955,-3.5514987,1
CC(=O)N=C1C=CC2=NC(=NC(=S)NC(=O)C3=CC=C(O3)C4=CC=CC=C4N(O)O)SC2=C1,-1.7582085747957228,-3.092937,1
CC1=CC=CC2=C(C(=O)N=C12)C3=C(N(C(=S)S3)CCC(=O)O)O,-1.7166055527448654,-3.488636,1
C1=COC(=C1)C2=NN3C(=N)C(=CC4=CC=C(O4)[N+](=O)[O-])C(=O)N=C3S2,-1.710670826983452,-3.5192826,1
C1=CC=C2C(=C1)C(=CC3=C(N(C(=S)S3)C(CCC(=O)[O-])C(=O)[O-])O)C=N2,-1.700245921397209,-3.2924564,1
C1=CC=C2C(=C1)C(=CC3=C(N(C(=O)S3)CC(=O)[O-])O)C=N2,-1.6876747554302214,-3.3626235,1
C1=CC(=CC=C1N2C(=O)C(=C(N2)C(=O)O)C=CC=CC=C3C(=NN(C3=O)C4=CC=C(C=C4)S(=O)(=O)[O-])C(=O)O)S(=O)(=O)[O-].[K+].[K+],-1.6805632399320602,-1.1322143,1
CC(=O)N=C1C=CC2=NC(=NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)N(O)O)SC2=C1,-1.633450285720825,-3.1862364,1
[P-]=[Ca].[P-]=[Ca].[Ca+2],-1.6039648417174814,0.314368,1
P(#[Ni])=[Ni],-1.5882498315632343,-3.253163,1
COC1=CC(=CC(=CN=NC2=NS(=O)(=O)C3=CC=CC=C32)C1=O)N(O)[O-],-1.5419099893212318,-3.118289,1
C1=CC2=NC3=C(N2C=C1)C(=CC(=C3)C(=O)N)[N+](=O)[O-],-1.5312409202992916,-3.63695,1
CC1=C(SC2=C1C(=O)N(C=N2)C)C(=O)[O-],-1.5119713908612726,-2.4702725,1
O=CC(=O)C(=O)C=O,-1.5062486284375192,0.22912669,1
CC(C)(C)OC(=O)N=C1N=CC(=N1)C2=CC(=CC=C2)N(O)O,-1.4745171656727791,-3.1106372,1
O=CC(=O)C=O,-1.4741001744031903,0.55668783,1
