
Host: admins-MacBook-Air.local

Timers On : Fri Sep  2 10:20:48 2022
Timers Off: Fri Sep  2 10:20:54 2022

Wall Time:        6.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.100u      0.000s      0.080w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.027w     11 calls
HF: Form core H                     :      0.017u      0.017s      0.007w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.083u      0.000s      0.047w      3 calls
SAD Guess                           :      0.067u      0.000s      0.045w      1 calls
HF: Form G                          :      0.017u      0.000s      0.011w     34 calls
JK: D                               :      0.000u      0.000s      0.000w     34 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     34 calls
JK: JK                              :      0.017u      0.000s      0.006w     34 calls
PK computes JK                      :      0.017u      0.000s      0.006w     34 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     34 calls
HF: Form F                          :      0.000u      0.000s      0.001w     34 calls
HF: Form D                          :      0.000u      0.000s      0.000w     34 calls
HF: DIIS                            :      0.367u      0.033s      0.245w     33 calls
HF: Form C                          :      0.050u      0.000s      0.021w     33 calls
ccenergy                            :      0.700u      2.317s      2.353w      3 calls
F build                             :      0.083u      0.033s      0.053w     31 calls
Wmbej build                         :      0.067u      0.033s      0.198w     31 calls
C->Wmbej                            :      0.000u      0.000s      0.004w     31 calls
F->Wmbej                            :      0.050u      0.033s      0.158w     31 calls
E->Wmbej                            :      0.000u      0.000s      0.013w     31 calls
X->Wmbej                            :      0.000u      0.000s      0.019w     31 calls
Z                                   :      0.000u      0.000s      0.004w     31 calls
T2 Build                            :      0.150u      0.200s      0.209w     31 calls
BT2                                 :      0.067u      0.100s      0.093w     31 calls
ABCD:new                            :      0.117u      0.183s      0.142w     49 calls
ABCD:S                              :      0.000u      0.000s      0.006w     49 calls
ABCD:A                              :      0.017u      0.000s      0.006w     49 calls
ABCD:axpy                           :      0.050u      0.150s      0.114w     49 calls
FT2                                 :      0.000u      0.017s      0.008w     31 calls
WmbejT2                             :      0.033u      0.033s      0.024w     31 calls
CT2                                 :      0.017u      0.050s      0.054w     31 calls
cchbar                              :      0.033u      0.150s      0.140w      2 calls
cclambda                            :      0.150u      0.300s      0.310w      2 calls
ccdensity                           :      0.100u      0.250s      0.243w      2 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.100u      0.000s      0.080w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w      6 calls
HF: Form core H                     :      0.017u      0.017s      0.007w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.083u      0.000s      0.047w      3 calls
| SAD Guess                         :      0.067u      0.000s      0.045w      1 calls
HF: Form G                          :      0.017u      0.000s      0.011w     34 calls
| JK: D                             :      0.000u      0.000s      0.000w     34 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     34 calls
| JK: JK                            :      0.017u      0.000s      0.006w     34 calls
| | PK computes JK                  :      0.017u      0.000s      0.006w     34 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     34 calls
HF: Form F                          :      0.000u      0.000s      0.001w     34 calls
HF: Form D                          :      0.000u      0.000s      0.000w     34 calls
HF: DIIS                            :      0.367u      0.033s      0.245w     33 calls
HF: Form C                          :      0.050u      0.000s      0.021w     33 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.010w      5 calls
ccenergy                            :      0.700u      2.317s      2.353w      3 calls
| F build                           :      0.083u      0.033s      0.053w     31 calls
| Wmbej build                       :      0.067u      0.033s      0.198w     31 calls
| | C->Wmbej                        :      0.000u      0.000s      0.004w     31 calls
| | F->Wmbej                        :      0.050u      0.033s      0.158w     31 calls
| | E->Wmbej                        :      0.000u      0.000s      0.013w     31 calls
| | X->Wmbej                        :      0.000u      0.000s      0.019w     31 calls
| Z                                 :      0.000u      0.000s      0.004w     31 calls
| T2 Build                          :      0.150u      0.200s      0.209w     31 calls
| | BT2                             :      0.067u      0.100s      0.093w     31 calls
| | | ABCD:new                      :      0.067u      0.100s      0.093w     31 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.005w     31 calls
| | | | ABCD:A                      :      0.017u      0.000s      0.004w     31 calls
| | | | ABCD:axpy                   :      0.033u      0.083s      0.073w     31 calls
| | FT2                             :      0.000u      0.017s      0.008w     31 calls
| | WmbejT2                         :      0.033u      0.033s      0.024w     31 calls
| | CT2                             :      0.017u      0.050s      0.054w     31 calls
cchbar                              :      0.033u      0.150s      0.140w      2 calls
cclambda                            :      0.150u      0.300s      0.310w      2 calls
| ABCD:new                          :      0.050u      0.083s      0.049w     18 calls
| | ABCD:S                          :      0.000u      0.000s      0.002w     18 calls
| | ABCD:A                          :      0.000u      0.000s      0.002w     18 calls
| | ABCD:axpy                       :      0.017u      0.067s      0.041w     18 calls
ccdensity                           :      0.100u      0.250s      0.243w      2 calls

**************************************************************************************

Host: admins-MacBook-Air.local

Timers On : Fri Sep  2 10:23:17 2022
Timers Off: Fri Sep  2 10:26:19 2022

Wall Time:      181.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.167u      0.017s      0.118w      2 calls
build grid                          :      0.100u      0.000s      0.073w      2 calls
post-process grid                   :      0.067u      0.017s      0.044w      2 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.105w      2 calls
